Paticle,Thread,Memory,Time
n1eV_inner_electron,1,2,0-04
n1eV_inter_electron,1,2,0-03
n1eV_outer_electron,1,2,0-03
n1eV_outer_proton,1,1,0-01
n100eV_inner_electron,1,2,0-04
n100eV_inter_electron,1,2,0-03
n100eV_inter_proton,1,1,0-02
n100eV_outer_electron,1,2,0-03
n100eV_outer_proton,1,1,0-01
n1keV_inner_electron,1,2,0-04
n1keV_inner_proton,1,1,0-02
n1keV_inter_electron,1,2,0-03
n1keV_inter_proton,1,1,0-02
n1keV_outer_electron,1,2,0-03
n1keV_outer_proton,1,2,0-03
n10keV_inner_electron,1,2,0-04
n10keV_inner_proton,1,1,0-02
n10keV_inter_electron,1,2,0-03
n10keV_inter_proton,1,1,0-02
n10keV_outer_electron,1,1,0-02
n10keV_outer_proton,1,2,0-03
n50keV_inner_electron,1,2,0-04
n50keV_inner_proton,1,1,0-02
n50keV_inter_electron,1,2,0-03
n50keV_inter_proton,1,1,0-02
n50keV_outer_electron,1,1,0-01
n50keV_outer_proton,1,3,0-05
n100keV_inner_electron,1,2,0-04
n100keV_inner_proton,1,1,0-02
n100keV_inter_electron,1,2,0-03
n100keV_inter_proton,1,2,0-03
n100keV_outer_electron,1,1,0-01
n100keV_outer_proton,1,3,0-06
n500keV_inner_electron,1,1,0-02
n500keV_inner_proton,1,3,0-05
n500keV_inter_electron,1,1,0-01
n500keV_inter_proton,1,3,0-06
n500keV_outer_electron,1,1,0-01
n500keV_outer_proton,1,4,0-07
n700keV_inner_electron,1,1,0-01
n700keV_inner_proton,1,3,0-05
n700keV_inter_electron,1,1,0-01
n700keV_inter_proton,1,3,0-06
n700keV_outer_electron,1,1,0-01
n700keV_outer_proton,1,3,0-06
n800keV_inner_electron,1,1,0-01
n800keV_inner_proton,1,3,0-06
n800keV_inter_electron,1,1,0-01
n800keV_inter_proton,1,3,0-06
n800keV_outer_electron,1,1,0-01
n800keV_outer_proton,1,3,0-06
n900keV_inner_electron,1,1,0-01
n900keV_inner_proton,1,3,0-06
n900keV_inter_electron,1,1,0-01
n900keV_inter_proton,1,3,0-06
n900keV_outer_electron,1,1,0-01
n900keV_outer_proton,1,3,0-05
n1MeV_inner_electron,1,1,0-01
n1MeV_inner_proton,1,3,0-05
n1MeV_inter_electron,1,1,0-01
n1MeV_inter_proton,1,3,0-06
n1MeV_outer_electron,1,1,0-01
n1MeV_outer_proton,1,3,0-05
n1-1MeV_inner_electron,1,1,0-01
n1-1MeV_inner_proton,1,3,0-05
n1-1MeV_inter_electron,1,1,0-01
n1-1MeV_inter_proton,1,3,0-06
n1-1MeV_outer_electron,1,1,0-01
n1-1MeV_outer_proton,1,3,0-05
n1-2MeV_inner_electron,1,1,0-01
n1-2MeV_inner_proton,1,3,0-05
n1-2MeV_inter_electron,1,1,0-01
n1-2MeV_inter_proton,1,3,0-05
n1-2MeV_outer_electron,1,1,0-01
n1-2MeV_outer_proton,1,3,0-05
n1-3MeV_inner_electron,1,1,0-01
n1-3MeV_inner_proton,1,3,0-05
n1-3MeV_inter_electron,1,1,0-01
n1-3MeV_inter_proton,1,3,0-05
n1-3MeV_outer_electron,1,1,0-01
n1-3MeV_outer_proton,1,3,0-05
n1-5MeV_inner_electron,1,1,0-01
n1-5MeV_inner_proton,1,3,0-05
n1-5MeV_inter_electron,1,1,0-01
n1-5MeV_inter_proton,1,3,0-05
n1-5MeV_outer_electron,1,1,0-01
n1-5MeV_outer_proton,1,3,0-05
n2MeV_inner_electron,1,1,0-01
n2MeV_inner_proton,1,3,0-05
n2MeV_inter_electron,1,1,0-01
n2MeV_inter_proton,1,3,0-05
n2MeV_outer_electron,1,1,0-01
n2MeV_outer_proton,1,3,0-05
n5MeV_inner_electron,1,1,0-01
n5MeV_inner_proton,1,3,0-05
n5MeV_inner_alpha,1,1,0-02
n5MeV_inter_electron,1,1,0-01
n5MeV_inter_proton,1,3,0-05
n5MeV_inter_alpha,1,1,0-02
n5MeV_outer_electron,1,1,0-01
n5MeV_outer_proton,1,2,0-04
n5MeV_outer_alpha,1,1,0-02
n10MeV_inner_electron,1,1,0-01
n10MeV_inner_proton,1,2,0-04
n10MeV_inner_alpha,1,1,0-01
n10MeV_inter_electron,1,1,0-01
n10MeV_inter_proton,1,2,0-04
n10MeV_inter_alpha,1,1,0-01
n10MeV_outer_electron,1,1,0-01
n10MeV_outer_proton,1,2,0-04
n10MeV_outer_alpha,1,1,0-01
x250keV_inner_electron,1,2,0-03
x250keV_inter_electron,1,2,0-03
x250keV_outer_electron,1,2,0-03
